name,description,learning_targets,pre_qualifications,lecture_id,combined
Internet Search Engines,internet search engine central startting point satisfying today information need engine representative broader class informaiton retrieval system applied many environment like eg internet shop digital library help system enterprise search course introduce basic model concept content oriented search web text collection collection text document area exercise example deepen understanding theoretical concept small practical exercise carried lab part student wokr th configuration application evaluation search engine content basic concept information literacy vagueness uncertainty data information knowledge representation text content free text search classification ontology model boolean fuzzy vector space probabilistic retrieval web retrieval evaluation effectiveness v efficiency relevance metric boolean retrieval evaluation linear ranking interactive retrieval information seeking behavior information search system function user interface,student understand basic concept different model information retrieval ir able apply different method representing text content evaluate performance ir system understand multi level architecture ir system learn various approach designing user interface ir system finally able ass quality various ir model text representation method,,34,internet search engine central startting point satisfying today information need engine representative broader class informaiton retrieval system applied many environment like eg internet shop digital library help system enterprise search course introduce basic model concept content oriented search web text collection collection text document area exercise example deepen understanding theoretical concept small practical exercise carried lab part student wokr th configuration application evaluation search engine content basic concept information literacy vagueness uncertainty data information knowledge representation text content free text search classification ontology model boolean fuzzy vector space probabilistic retrieval web retrieval evaluation effectiveness v efficiency relevance metric boolean retrieval evaluation linear ranking interactive retrieval information seeking behavior information search system function user interface student understand basic concept different model information retrieval ir able apply different method representing text content evaluate performance ir system understand multi level architecture ir system learn various approach designing user interface ir system finally able ass quality various ir model text representation method 
Advanced Programming Technologies,relying fundamental programming c java python course treat continuative feature selected apis java applied practical cross thematic exercise project solve sophisticated programming problem content glance objectoriented programming architecture design pattern concurrent programming graphical user interface based model view controller technique object serialisation reflection database access using jdbc introduction network programming webservices using rest,student deepen knowledge concept technique programming apply complex problem understood advanced language element object oriented programming know apply certain architecture design pattern understand able use advanced apis enable successfully implement larger application eg network database area addition gained knowledge implementation concurrent application,course grundlegende programmiertechniken,35,relying fundamental programming c java python course treat continuative feature selected apis java applied practical cross thematic exercise project solve sophisticated programming problem content glance objectoriented programming architecture design pattern concurrent programming graphical user interface based model view controller technique object serialisation reflection database access using jdbc introduction network programming webservices using rest student deepen knowledge concept technique programming apply complex problem understood advanced language element object oriented programming know apply certain architecture design pattern understand able use advanced apis enable successfully implement larger application eg network database area addition gained knowledge implementation concurrent application course grundlegende programmiertechniken
Advanced Programming Technologies,relying fundamental programming c java python course treat continuative feature selected apis java applied practical cross thematic exercise project solve sophisticated programming problem content glance objectoriented programming architecture design pattern concurrent programming graphical user interface based model view controller technique object serialisation reflection database access using jdbc introduction network programming webservices using rest,student deepen knowledge concept technique programming apply complex problem understood advanced language element object oriented programming know apply certain architecture design pattern understand able use advanced apis enable successfully implement larger application eg network database area addition gained knowledge implementation concurrent application,course grundlegende programmiertechniken,36,relying fundamental programming c java python course treat continuative feature selected apis java applied practical cross thematic exercise project solve sophisticated programming problem content glance objectoriented programming architecture design pattern concurrent programming graphical user interface based model view controller technique object serialisation reflection database access using jdbc introduction network programming webservices using rest student deepen knowledge concept technique programming apply complex problem understood advanced language element object oriented programming know apply certain architecture design pattern understand able use advanced apis enable successfully implement larger application eg network database area addition gained knowledge implementation concurrent application course grundlegende programmiertechniken
Computer / Robot Vision,course treat method extraction geometric structure single image dynamic scene extraction characterisation object movement image sequence robot application method camera modelling 3d obstacle localisation automatic 3d scene reconstruction treated contens glance introduction application processing step medium level processing extraction line contour snake hough transformation camera modelling lens projection calibration image formation image sequence analysis change detection object tracking optical flow feature matching obstacle detection map building object camera localisation dynamic scene reconstruction,student understand basic mathematics able implement certain approach computer vision platform judge qualification selected computerrobot vision approach certain task,course grundlagen der bildverarbeitung useful absolute prerequisite,37,course treat method extraction geometric structure single image dynamic scene extraction characterisation object movement image sequence robot application method camera modelling 3d obstacle localisation automatic 3d scene reconstruction treated contens glance introduction application processing step medium level processing extraction line contour snake hough transformation camera modelling lens projection calibration image formation image sequence analysis change detection object tracking optical flow feature matching obstacle detection map building object camera localisation dynamic scene reconstruction student understand basic mathematics able implement certain approach computer vision platform judge qualification selected computerrobot vision approach certain task course grundlagen der bildverarbeitung useful absolute prerequisite
Cognitive Robot Systems,cognitive robot system use sensor camera perceive environment order acquire process knowledge goal directed behavioral decision system robot vehicle eg map buildung robot arm eg object grasping robot head eg active vision main focus course method reach intelligent robot behavior includes architecture space representation self localisation navigation visual servoing online robot learning robotics simulation practical part selected topic deepened using mobile robot robot operating system programming language python content glance application cognitive robot system cognitive perception action system component robot system sensor component basis autonomy coordinate system transformation visual servoing robot arm representation environment robot motion planning probabilistic robot localisation online robot learning navigation robotics simulation programming cognitive robot system robot operating system,student get know possible architecture cognitive robot system understand selected method solve motion planning robot navigation self localisation obstacle avoidance familiar basic mathematics selected problem able propose evaluate potential configuration cognitive robot system,,38,cognitive robot system use sensor camera perceive environment order acquire process knowledge goal directed behavioral decision system robot vehicle eg map buildung robot arm eg object grasping robot head eg active vision main focus course method reach intelligent robot behavior includes architecture space representation self localisation navigation visual servoing online robot learning robotics simulation practical part selected topic deepened using mobile robot robot operating system programming language python content glance application cognitive robot system cognitive perception action system component robot system sensor component basis autonomy coordinate system transformation visual servoing robot arm representation environment robot motion planning probabilistic robot localisation online robot learning navigation robotics simulation programming cognitive robot system robot operating system student get know possible architecture cognitive robot system understand selected method solve motion planning robot navigation self localisation obstacle avoidance familiar basic mathematics selected problem able propose evaluate potential configuration cognitive robot system 
Fundamentals of Image Processing,course treat fundamental image processing including preprocessing segmentation structure extraction including representation characterization digital image contens glance introduction application dataflow image processing system digital image digital representation position frequency space image feature image preprocessing correlationconvolution smoothing gray level edgescorners image segmentation fugurebackgroundseparation region contour oriented segmentation morphological operator structure extraction dilatation erosion opening closing hit miss structure description descriptor shapetexturecolor relational description,student proficient use image processing system understand basic mathematics characterizing image whole understand able implement method preprocessing segmentation feature extraction certain category image able recommend appropriate method image analysis,,39,course treat fundamental image processing including preprocessing segmentation structure extraction including representation characterization digital image contens glance introduction application dataflow image processing system digital image digital representation position frequency space image feature image preprocessing correlationconvolution smoothing gray level edgescorners image segmentation fugurebackgroundseparation region contour oriented segmentation morphological operator structure extraction dilatation erosion opening closing hit miss structure description descriptor shapetexturecolor relational description student proficient use image processing system understand basic mathematics characterizing image whole understand able implement method preprocessing segmentation feature extraction certain category image able recommend appropriate method image analysis 
Neurocomputing and Organic Computing,course treat important type feed forward neural network multi layer perceptron radial basis function network deep convolutional network support vector machine comprehensive manner basic problem algorithmic learning treated including bias variance dilemma solution presented related organic computing self x competence discussed special effort put relationship basic technique field eg gradient descent linear quadratic optimization statistical decision theory typical application include signal filtering pattern recognition robot control content glance introduction mcculloch pitt zelle perzeptron adaline statistical decision theory multi layer perceptron deep convolutional network radial basis function network bias variance dilemma support vector machine organic computing,student understand certain type neural network structure learning method well mathematical foundation know possible application competence propose certain type problem potentially useful type network learning procedure,,40,course treat important type feed forward neural network multi layer perceptron radial basis function network deep convolutional network support vector machine comprehensive manner basic problem algorithmic learning treated including bias variance dilemma solution presented related organic computing self x competence discussed special effort put relationship basic technique field eg gradient descent linear quadratic optimization statistical decision theory typical application include signal filtering pattern recognition robot control content glance introduction mcculloch pitt zelle perzeptron adaline statistical decision theory multi layer perceptron deep convolutional network radial basis function network bias variance dilemma support vector machine organic computing student understand certain type neural network structure learning method well mathematical foundation know possible application competence propose certain type problem potentially useful type network learning procedure 
Real-Time Systems,real time system process data within specified timing constraint inherent characteristic correctness programm apart semantical correctnessthe course treat development real time system using high level language ada c java included modelling time real time behavior scheduling concurrency synchronisation communication time event controlled system overview introduction real time entity abstraction error programming using high level language concurrency high level language synchronisation communication atomic action concurrent process real time facility computer system resource control scheduling real time system automation application,getting basic knowledge understanding real time systemsmapping real time task computer based solution using real time modelling tool operating system high level languagesjudging various high level language implementing certain real time application,basic java cc basic operating system,41,real time system process data within specified timing constraint inherent characteristic correctness programm apart semantical correctnessthe course treat development real time system using high level language ada c java included modelling time real time behavior scheduling concurrency synchronisation communication time event controlled system overview introduction real time entity abstraction error programming using high level language concurrency high level language synchronisation communication atomic action concurrent process real time facility computer system resource control scheduling real time system automation application getting basic knowledge understanding real time systemsmapping real time task computer based solution using real time modelling tool operating system high level languagesjudging various high level language implementing certain real time application basic java cc basic operating system
Language Technology,main topic lecture natural language automatically processed processing integrated practical application daily life detailed content processing spoken language written language language model po tagging word sense disambiguation named entity recognition application area keyphrase extraction error correction information extraction,student learn natural language spoken written form automatically processed gain basic understanding technology work furthermore learn practical application language technology many area daily life,,42,main topic lecture natural language automatically processed processing integrated practical application daily life detailed content processing spoken language written language language model po tagging word sense disambiguation named entity recognition application area keyphrase extraction error correction information extraction student learn natural language spoken written form automatically processed gain basic understanding technology work furthermore learn practical application language technology many area daily life 
Foundations of Artificial Intelligence,50 year researcher trying build system intelligent however exact definition intelligence still highly disputed order operationalize artificial intelligence computer need represent knowledge way lecture learn artificial intelligence achieved purpose examine wide range practical application detailed content history ai definition intelligence agent agent architecture property environment search uninformed search bfs dfs informed search greedy local search genetic algorithm uncertainty probabilistic model machine learning classification naive bayes decision tree clustering regression evaluation application ai language processing image analysis etc,student learn different definition artificial intelligence well approach representing knowledge computer understand based several application area knowledge automatically processed goal building system considered intelligent,,43,50 year researcher trying build system intelligent however exact definition intelligence still highly disputed order operationalize artificial intelligence computer need represent knowledge way lecture learn artificial intelligence achieved purpose examine wide range practical application detailed content history ai definition intelligence agent agent architecture property environment search uninformed search bfs dfs informed search greedy local search genetic algorithm uncertainty probabilistic model machine learning classification naive bayes decision tree clustering regression evaluation application ai language processing image analysis etc student learn different definition artificial intelligence well approach representing knowledge computer understand based several application area knowledge automatically processed goal building system considered intelligent 
Knowledge-Based Systems,lecture discus method transform information representation suited computer turn information knowledge start foundational question knowledge advance towards various way encoding discus degree similarity piece information determined answer question color black similar white using variety human curated resource subfield machine learning explore computer learns classify object real world either human prepared data discus several machine learning algorithm commonly used today highlight property one consider choosing algorithm,student know different kind knowledge level knowledge representation know explain algorithm deriving processing knowledge representation number real world problem student discus advantage disadvantage different representation algorithm different application,,44,lecture discus method transform information representation suited computer turn information knowledge start foundational question knowledge advance towards various way encoding discus degree similarity piece information determined answer question color black similar white using variety human curated resource subfield machine learning explore computer learns classify object real world either human prepared data discus several machine learning algorithm commonly used today highlight property one consider choosing algorithm student know different kind knowledge level knowledge representation know explain algorithm deriving processing knowledge representation number real world problem student discus advantage disadvantage different representation algorithm different application 
Human Computer Interaction,lecture address model method technique human computer interaction introduces systematically procedure user task appropriate design interactive system lecture introduces psychological basic human computer interaction present hardware software component modern user interface furthermore method evaluation usability user experience handled content detail model design principle human computer interaction psychological basic cognitive model input output device including current technique like touch input tangible interface interaction technology inter alia graphic interactive system natural language interaction gestural interaction user oriented development process usability engineering job analysis conceptual design user interface navigation design including web navigation selection use interaction object visual design user interface visualization information evaluation method user interface barrier free design system organizational economical aspect usability engineering,student present explain basic concept model technique human computer interaction context know design question different interaction form graphical direct manipulation language based interface use concept work design user interface systematically put practice using approved method usability engineering furthermore examine evaluate usability interactive system help established evaluation method,,45,lecture address model method technique human computer interaction introduces systematically procedure user task appropriate design interactive system lecture introduces psychological basic human computer interaction present hardware software component modern user interface furthermore method evaluation usability user experience handled content detail model design principle human computer interaction psychological basic cognitive model input output device including current technique like touch input tangible interface interaction technology inter alia graphic interactive system natural language interaction gestural interaction user oriented development process usability engineering job analysis conceptual design user interface navigation design including web navigation selection use interaction object visual design user interface visualization information evaluation method user interface barrier free design system organizational economical aspect usability engineering student present explain basic concept model technique human computer interaction context know design question different interaction form graphical direct manipulation language based interface use concept work design user interface systematically put practice using approved method usability engineering furthermore examine evaluate usability interactive system help established evaluation method 
Interactive Systems,lecture cover advanced method technique human computer interaction particular novel form interaction discussed interactive information visualization speech gesture recognition adaptive user interface appropriate pertinent machine learning method introduced addition theoretical foundation current system example research result presented discussed content overview model model based development interactive system interactive information visualization visual analytics natural interaction interactive surface tangible interface interaction ubiquitous computing perceptive interface natural language user interface gesture based interaction recognition body movement multimodal interface fusion fission modality user adaptive context adaptive user interface,student know essential concept model technique conceptual design realization advanced interactive system able represent explain respective context able select suitable form interaction well designing realizing interface aware essential research question area innovative interactive system able classify rate new development,,46,lecture cover advanced method technique human computer interaction particular novel form interaction discussed interactive information visualization speech gesture recognition adaptive user interface appropriate pertinent machine learning method introduced addition theoretical foundation current system example research result presented discussed content overview model model based development interactive system interactive information visualization visual analytics natural interaction interactive surface tangible interface interaction ubiquitous computing perceptive interface natural language user interface gesture based interaction recognition body movement multimodal interface fusion fission modality user adaptive context adaptive user interface student know essential concept model technique conceptual design realization advanced interactive system able represent explain respective context able select suitable form interaction well designing realizing interface aware essential research question area innovative interactive system able classify rate new development 
Electronic Business,electronic business indicates support intra inter organizational business process information communication technology particular internet technology lecture give overview different field electronic business present essential standard technology realization e business application special focus lie method based web service semantic description method business object like product service furthermore application area like customer relationship management supply chain management discussed attendant exercise presentation discussion case example topic detail aim form electronic business classification standard e business xml xml schema xslt product catalog transaction standard analysis modeling electronic based business process standard web service distributed business process basis web service architecture system framework realization e business application supply chain management customer relationship management recommender system payment system security criterion design design method e business application,student know essential technology application area electronic business familiar technical professional standard particular basis xml analyze business process model describe adequate format internet rank evaluate specific e business system technical economic view,,47,electronic business indicates support intra inter organizational business process information communication technology particular internet technology lecture give overview different field electronic business present essential standard technology realization e business application special focus lie method based web service semantic description method business object like product service furthermore application area like customer relationship management supply chain management discussed attendant exercise presentation discussion case example topic detail aim form electronic business classification standard e business xml xml schema xslt product catalog transaction standard analysis modeling electronic based business process standard web service distributed business process basis web service architecture system framework realization e business application supply chain management customer relationship management recommender system payment system security criterion design design method e business application student know essential technology application area electronic business familiar technical professional standard particular basis xml analyze business process model describe adequate format internet rank evaluate specific e business system technical economic view 
Software Engineering,course teach different process model phase software development principle object oriented programming software development systematic testing software quality assurance technique concrete model based software development process presented phase phase practical part course example system developed following concept introduced lecture content detail motivation difference programming large programming small factor successful software development project software process model analysis phase terminology requirement v specification deriving specification requirement domain knowledge decomposing complex problem simple subproblems applying pattern simple software development problem namely problem frame principle object orientation object oriented software development process applying uml model notation analysis design transforming design object oriented implementation architectural style design pattern design contract correctness program testing version control,able explain difference software development programming able name explain process model phase purpose know principle object orientation able develop object oriented software systematic way following given process able test software systematically able name explain software quality assurance technique able use version control system,,48,course teach different process model phase software development principle object oriented programming software development systematic testing software quality assurance technique concrete model based software development process presented phase phase practical part course example system developed following concept introduced lecture content detail motivation difference programming large programming small factor successful software development project software process model analysis phase terminology requirement v specification deriving specification requirement domain knowledge decomposing complex problem simple subproblems applying pattern simple software development problem namely problem frame principle object orientation object oriented software development process applying uml model notation analysis design transforming design object oriented implementation architectural style design pattern design contract correctness program testing version control able explain difference software development programming able name explain process model phase purpose know principle object orientation able develop object oriented software systematic way following given process able test software systematically able name explain software quality assurance technique able use version control system 
Formal Aspects of Software Security and Cryptography,area software security cryptography important firm grasp theoretical foundation order appraise security method protocol course conveys complexity theoretical well semantical foundation topic particular content cryptography foundation cryptography one time pad advanced encryption standard aes rsa prime number test oneway trapdoor function cryptographic protocol authentication bit commitment interactive proof system zero knowledge protocol secure multi party computation verification cryptographic protocol intruder model according dolev yao error in cryptographic protocol applied pi calculus model checking cryptographic protocol,student acquire advanced knowledge area software security cryptography particular get acquainted theoretical formal foundation topic able understand complex cryptographic method evaluate least rudimentary way furthermore get know complexity theoretical foundation cryptography concerning cryptographic protocol acquire knowledge protocol secure exchange message ensure third party communication partner come possession unauthorized information student least partly able ass security method addition become acquainted technique verification protocol assumption cryptography secure broken,,49,area software security cryptography important firm grasp theoretical foundation order appraise security method protocol course conveys complexity theoretical well semantical foundation topic particular content cryptography foundation cryptography one time pad advanced encryption standard aes rsa prime number test oneway trapdoor function cryptographic protocol authentication bit commitment interactive proof system zero knowledge protocol secure multi party computation verification cryptographic protocol intruder model according dolev yao error in cryptographic protocol applied pi calculus model checking cryptographic protocol student acquire advanced knowledge area software security cryptography particular get acquainted theoretical formal foundation topic able understand complex cryptographic method evaluate least rudimentary way furthermore get know complexity theoretical foundation cryptography concerning cryptographic protocol acquire knowledge protocol secure exchange message ensure third party communication partner come possession unauthorized information student least partly able ass security method addition become acquainted technique verification protocol assumption cryptography secure broken 
Pattern and Component based Software Development,course treat pattern component based software development approach stress reuse existing knowledge existing software content detail definition pattern usage pattern software development process pattern different phase analysis phase problem frame analysis pattern design phase architectural pattern design pattern implementation phase idiom test phase test pattern notion component different component model eg enterpise java bean corba component model osgi specification component interface demonstration component interoperability component based development process combination pattern component integrated development process,able explain basic idea pattern software component able describe advantage pattern component based software development approach compared traditional approach able assign pattern different phase software development life cycle able give example discussed pattern type explain able apply different kind pattern able explain basic idea component based software development able explain ass existing component model able specify component able design component based software able explain interrelationship component pattern,,50,course treat pattern component based software development approach stress reuse existing knowledge existing software content detail definition pattern usage pattern software development process pattern different phase analysis phase problem frame analysis pattern design phase architectural pattern design pattern implementation phase idiom test phase test pattern notion component different component model eg enterpise java bean corba component model osgi specification component interface demonstration component interoperability component based development process combination pattern component integrated development process able explain basic idea pattern software component able describe advantage pattern component based software development approach compared traditional approach able assign pattern different phase software development life cycle able give example discussed pattern type explain able apply different kind pattern able explain basic idea component based software development able explain ass existing component model able specify component able design component based software able explain interrelationship component pattern 
Development of Safe and Secure Software,safety mean system work without endangering environment security mean protect system attack environment software must developed way system containing software fulfills safety security requirement safety security mostly considered separately near future increasing number system satisfy safety well security requirement course show construct software contributes safety well security content detail concept safety terminology concept security terminology typical safety requirement functional property typical security requirement confidentiality availability integrity refined version interrelationship safety security supplementary conflicting objective safety security system v safety security software threat risk analysis measure establish safety security property eg architecture infrastructure protocol standard safety security iec 61508 iso 27001 common criterion process developing safe secure software safety security objective elicitation requirement engineering analysis selection safety security mechanism safety security mechanism software architecture implementation testing issue,student able describe safety security explain interrelationship explain relationship safety security system software know use technique specification security safety property explain role standard know explain technique establish safety security property explain develop software way security safety requirement considered beginning,,51,safety mean system work without endangering environment security mean protect system attack environment software must developed way system containing software fulfills safety security requirement safety security mostly considered separately near future increasing number system satisfy safety well security requirement course show construct software contributes safety well security content detail concept safety terminology concept security terminology typical safety requirement functional property typical security requirement confidentiality availability integrity refined version interrelationship safety security supplementary conflicting objective safety security system v safety security software threat risk analysis measure establish safety security property eg architecture infrastructure protocol standard safety security iec 61508 iso 27001 common criterion process developing safe secure software safety security objective elicitation requirement engineering analysis selection safety security mechanism safety security mechanism software architecture implementation testing issue student able describe safety security explain interrelationship explain relationship safety security system software know use technique specification security safety property explain role standard know explain technique establish safety security property explain develop software way security safety requirement considered beginning 
Automata and Formal Languages,theory formal language form foundation many field computer science eg information processing compiler construction verification modeling lecture basic formal language theory covered skill handling automaton grammar practiced additionally field theory applied considered content lecture detail grammar chomsky hierarchy word problem syntax tree regular language finite automaton regular expression pumping lemma equivalence relation minimal automaton closure property decidability application regular language verification protocol mutual exclusion context free language normal form pumping lemma cyk algorithm push automaton deterministic context free language closure property decidability application xml dtds context sensitive language type 0 language turing machine,student obtain knowledge automaton formal language become acquainted regular well context free language corresponding automaton model finite automaton push automaton able define automaton grammar discus whether appropriate moreover student understand use relevant algorithm minimization cyk proof method pumping lemma additionally obtain knowledge turing machine basic computability theory able handle formal concept use formally correct notation conduct small proof,,52,theory formal language form foundation many field computer science eg information processing compiler construction verification modeling lecture basic formal language theory covered skill handling automaton grammar practiced additionally field theory applied considered content lecture detail grammar chomsky hierarchy word problem syntax tree regular language finite automaton regular expression pumping lemma equivalence relation minimal automaton closure property decidability application regular language verification protocol mutual exclusion context free language normal form pumping lemma cyk algorithm push automaton deterministic context free language closure property decidability application xml dtds context sensitive language type 0 language turing machine student obtain knowledge automaton formal language become acquainted regular well context free language corresponding automaton model finite automaton push automaton able define automaton grammar discus whether appropriate moreover student understand use relevant algorithm minimization cyk proof method pumping lemma additionally obtain knowledge turing machine basic computability theory able handle formal concept use formally correct notation conduct small proof 
Modelling of Concurrent Systems,concurrent system distributed system special case often hard understand user perspective already small specification program lead unforseeable behaviour furthermore problem deadlock mutual exclusion arise occur sequential system therefore course teach modelling analysis technique lead better understanding system table content transition system behavioural equivalence trace equivalence bisimulation process calculus cc pi calculus petri net partial order technique graph transformation system,student acquire knowledge different modelling technique concurrent system especially learn process calculus petri net graph transformation system area model applied apart model modelling language student apply analysis specification technique behavioural equivalence partial order technique learn judge adequacy appropriateness one main aim practice use formal modelling language,,53,concurrent system distributed system special case often hard understand user perspective already small specification program lead unforseeable behaviour furthermore problem deadlock mutual exclusion arise occur sequential system therefore course teach modelling analysis technique lead better understanding system table content transition system behavioural equivalence trace equivalence bisimulation process calculus cc pi calculus petri net partial order technique graph transformation system student acquire knowledge different modelling technique concurrent system especially learn process calculus petri net graph transformation system area model applied apart model modelling language student apply analysis specification technique behavioural equivalence partial order technique learn judge adequacy appropriateness one main aim practice use formal modelling language 
Computability and Complexity,theory computability complexity important foundation computer science interested question compute expensive computation also treat p np problem significant unsolved problem theoretical computer science course teach fundamental knowledge area computability complexity particular computability turing machine intuitive notion computability church thesis loop goto program primitive recursive mu recursive function ackermann function halting problem undecidability reduction post correspondence problem undecidable problem complexity complexity class p np problem np completeness sat np complete problem,student acquire knowledge area computability complexity know various computation model turing machine loop goto program primitive recursive mu recursive function via proof equivalence model able understand church thesis understand apply concept undecidability reduction know undecidable problem halting problem post correspondence problem etc able make judgement undecidability problem prove area complexity know various complexity class p np problem np completeness apraise complexity problem ability perform simple reduction,,54,theory computability complexity important foundation computer science interested question compute expensive computation also treat p np problem significant unsolved problem theoretical computer science course teach fundamental knowledge area computability complexity particular computability turing machine intuitive notion computability church thesis loop goto program primitive recursive mu recursive function ackermann function halting problem undecidability reduction post correspondence problem undecidable problem complexity complexity class p np problem np completeness sat np complete problem student acquire knowledge area computability complexity know various computation model turing machine loop goto program primitive recursive mu recursive function via proof equivalence model able understand church thesis understand apply concept undecidability reduction know undecidable problem halting problem post correspondence problem etc able make judgement undecidability problem prove area complexity know various complexity class p np problem np completeness apraise complexity problem ability perform simple reduction 
Logic,computer science logic instance used database query language sql specification language boolean circuit modelling language example analysis verification program logic programming language prolog employed knowledge processing expert system furthermore logic application area computer science instance development theorem provers course teach foundation propositional logic predicate logic application particular propositional logic basic equivalence normal form resolution propositional logic sat solver first order predicate logic basic normal form undecidability predicate logic herbrand theory resolution predicate logic foundation logic programming sld resolution,student learn master language propositional first order predicate logic get acquainted basic mathematical logic foundational theorem compactness theorem undecidability predicate logic one focus lie algorithmic aspect logic resolution calculus foundation logic programming apart getting acquainted applying algorithm proof technique student also able translate statement natural language logical formula use tool automatically proving statement,,55,computer science logic instance used database query language sql specification language boolean circuit modelling language example analysis verification program logic programming language prolog employed knowledge processing expert system furthermore logic application area computer science instance development theorem provers course teach foundation propositional logic predicate logic application particular propositional logic basic equivalence normal form resolution propositional logic sat solver first order predicate logic basic normal form undecidability predicate logic herbrand theory resolution predicate logic foundation logic programming sld resolution student learn master language propositional first order predicate logic get acquainted basic mathematical logic foundational theorem compactness theorem undecidability predicate logic one focus lie algorithmic aspect logic resolution calculus foundation logic programming apart getting acquainted applying algorithm proof technique student also able translate statement natural language logical formula use tool automatically proving statement 
"Modelling, Analysis, Verification",apart used area hardware verification analysis verification technique increasingly applied software verification using technique system verified modelled considered programming language equipped formal semantics course give introduction modelling analysis verification topic detail 1 data flow analysis fixed point theory monotonous framework worklist algorithm application example compiler optimization java bytecode verifier 2 foundation abstract interpretation galois connection safe approximation function abstraction refinement,student gain knowledge verification analysis program particular get acquainted data flow analysis foundation fixed point theory monotonous framework application furthermore able apply method abstract interpretation evaluate adequacy program verification,requirement automaton theory logic,56,apart used area hardware verification analysis verification technique increasingly applied software verification using technique system verified modelled considered programming language equipped formal semantics course give introduction modelling analysis verification topic detail 1 data flow analysis fixed point theory monotonous framework worklist algorithm application example compiler optimization java bytecode verifier 2 foundation abstract interpretation galois connection safe approximation function abstraction refinement student gain knowledge verification analysis program particular get acquainted data flow analysis foundation fixed point theory monotonous framework application furthermore able apply method abstract interpretation evaluate adequacy program verification requirement automaton theory logic
Multimedia Systems,course focused multimedia system including multimedia technology development environment concentrate selected technique digital medium development detail single especially important application area advanced web technology cscw virtual reality learning system introduced whole course digital game examined prime example complex multimedia system specific content 1 interactive multimedia system real time multimedia parallelism 2 multimedia development environment 3 process model quality assurance multimedia engineering 4 2d3d computer graphic 5 algorithm real time graphic 6 shader programming realism computer graphic 7 multimedia interface 8 sound music 9 web 20 cscw 10 e learning serious game,1 student learn composition functionality multimedia system basic module 2 become acquainted development tool method multimedia application ability project develop evaluate application like multimedia based entertainment learning information system 3 student acquire practical skill development interactive multimedia application given framework 4 acquire ability completing developmental assignment independently team,,57,course focused multimedia system including multimedia technology development environment concentrate selected technique digital medium development detail single especially important application area advanced web technology cscw virtual reality learning system introduced whole course digital game examined prime example complex multimedia system specific content 1 interactive multimedia system real time multimedia parallelism 2 multimedia development environment 3 process model quality assurance multimedia engineering 4 2d3d computer graphic 5 algorithm real time graphic 6 shader programming realism computer graphic 7 multimedia interface 8 sound music 9 web 20 cscw 10 e learning serious game 1 student learn composition functionality multimedia system basic module 2 become acquainted development tool method multimedia application ability project develop evaluate application like multimedia based entertainment learning information system 3 student acquire practical skill development interactive multimedia application given framework 4 acquire ability completing developmental assignment independently team 
Digital Games Research,course focused interdisciplinary aspect digital game design development concentrating single current aspect digital game detail,student learn development interdisciplinary aspect digital game new medium type course aim teach student game work developed programmed consequence usage used tool address advanced technology current research question,,58,course focused interdisciplinary aspect digital game design development concentrating single current aspect digital game detail student learn development interdisciplinary aspect digital game new medium type course aim teach student game work developed programmed consequence usage used tool address advanced technology current research question 
Internet Research,student learn different method data collection analysis special regard social medium analytics seminar focus use social network analysis sentiment analysis machine learning cluster analysis analysis internet data method critically reflected applied different research scenario well ethical implication method discussed,student gain deep understanding method analyze social medium data sound understanding different approach social medium analytics able apply knowledge different context data set student able understand critically discus current theoretical empirical publication field,,59,student learn different method data collection analysis special regard social medium analytics seminar focus use social network analysis sentiment analysis machine learning cluster analysis analysis internet data method critically reflected applied different research scenario well ethical implication method discussed student gain deep understanding method analyze social medium data sound understanding different approach social medium analytics able apply knowledge different context data set student able understand critically discus current theoretical empirical publication field 
Business Communications,company social medium best call attention product content become viral type message get attention method used evaluate social medium data seminar theoretical concept eg information diffusion virality network effect well practical aspect relation corporate communication discussed,student get insight field online business communication gain understanding social medium marketing able apply knowledge different field online communication addition student know different method instrument data collection analysis interpretation apply reflect critically student work theoretical empirical publication field business communication,,60,company social medium best call attention product content become viral type message get attention method used evaluate social medium data seminar theoretical concept eg information diffusion virality network effect well practical aspect relation corporate communication discussed student get insight field online business communication gain understanding social medium marketing able apply knowledge different field online communication addition student know different method instrument data collection analysis interpretation apply reflect critically student work theoretical empirical publication field business communication 
Digital Society,seminar focus impact digital transformation society based empirical theoretical publication different aspect digital transformation discussed reflected special focus put chance risk result new emerging technology society,student able explain digital transformation influence society besides technological insight gain overview recent research topic ethical implication result digital transformation,,61,seminar focus impact digital transformation society based empirical theoretical publication different aspect digital transformation discussed reflected special focus put chance risk result new emerging technology society student able explain digital transformation influence society besides technological insight gain overview recent research topic ethical implication result digital transformation 
Communication and Collaboration Systems,lecture deal theory basic communication collaboration system business context student learn potential hurdle digital communication collaboration question considered science,student basic understanding theoretical technical foundation professional communication able analyze choose suitable communication collaboration system context area application student overview use communication collaboration system internal external communication organization also aware different application domain like politics journalism business,,62,lecture deal theory basic communication collaboration system business context student learn potential hurdle digital communication collaboration question considered science student basic understanding theoretical technical foundation professional communication able analyze choose suitable communication collaboration system context area application student overview use communication collaboration system internal external communication organization also aware different application domain like politics journalism business 
